anio;sem;cod_alumno;cod_asig;nota
2021;2;E-14329;207;6.7
2021;2;E-14329;208;4.5
2021;2;E-14329;209;4.9
2021;2;E-14329;210;6.2
2021;2;E-14329;211;3.7
2022;1;E-14329;212;4.4
2022;1;E-14329;213;5.3
2022;1;E-14329;214;5.4
2022;1;E-14329;215;5.1
2022;1;E-14329;216;4
2022;1;E-14329;217;4.8
2022;2;E-14329;218;5.4
2022;2;E-14329;219;6.9
2022;2;E-14329;220;5.8
2022;2;E-14329;221;5.9
2022;2;E-14329;222;3.6
2022;2;E-14329;223;5.3
2023;1;E-14329;224;5.3
2023;1;E-14329;225;4.4
2023;1;E-14329;226;5.6
2023;1;E-14329;227;3.1
2023;1;E-14329;228;5
2023;1;E-14329;229;3.2
2023;2;E-14329;230;4.3
2023;2;E-14329;231;6.5
2023;2;E-14329;232;5.4
2023;2;E-14329;233;3.1
2023;2;E-14329;234;6.7
2023;2;E-14329;235;6.5
2021;1;E-14330;201;5.1
2021;1;E-14330;202;6.3
2021;1;E-14330;203;7
2021;1;E-14330;204;4.7
2021;1;E-14330;205;5.9
2021;2;E-14330;206;5.8
2021;2;E-14330;207;3.9
2021;2;E-14330;208;5.4
2021;2;E-14330;209;6.9
2021;2;E-14330;210;6.6
2021;2;E-14330;211;3.2
2022;1;E-14330;212;3.2
2022;1;E-14330;213;3.4
2022;1;E-14330;214;5
2022;1;E-14330;215;5.6
2022;1;E-14330;216;4.5
2022;1;E-14330;217;3.1
2022;2;E-14330;218;4
2022;2;E-14330;219;6.9
2022;2;E-14330;220;6.1
2022;2;E-14330;221;3.1
2022;2;E-14330;222;6.7
2022;2;E-14330;223;3.7
2023;1;E-14330;224;6.1
2023;1;E-14330;225;4.1
2023;1;E-14330;226;5.3
2023;1;E-14330;227;4.2
2023;1;E-14330;228;4.7
2023;1;E-14330;229;5.2
2023;2;E-14330;230;4.6
2023;2;E-14330;231;3.4
2023;2;E-14330;232;4.9
2023;2;E-14330;233;4.2
2023;2;E-14330;234;5.5
2023;2;E-14330;235;3.8
2021;1;E-14331;201;3.4
2021;1;E-14331;202;6.6
2021;1;E-14331;203;5.8
2021;1;E-14331;204;5.1
2021;1;E-14331;205;5.5
2021;2;E-14331;206;3.6
2021;2;E-14331;207;6.3
2021;2;E-14331;208;6.5
2021;2;E-14331;209;5.6
2021;2;E-14331;210;3.1
2021;2;E-14331;211;5.2
2022;1;E-14331;212;6.6
2022;1;E-14331;213;4.5
2022;1;E-14331;214;6.1
2022;1;E-14331;215;6.1
2022;1;E-14331;216;3.5
2022;1;E-14331;217;3.7
2022;2;E-14331;218;3.3
2022;2;E-14331;219;6.9
2022;2;E-14331;220;4.9
2022;2;E-14331;221;4.8
2022;2;E-14331;222;5.4
2022;2;E-14331;223;5.6
2023;1;E-14331;224;6.3
2023;1;E-14331;225;5.4
2023;1;E-14331;226;6.4
2023;1;E-14331;227;6.9
2023;1;E-14331;228;6.5
2023;1;E-14331;229;5.1
2023;2;E-14331;230;3.1
2023;2;E-14331;231;6.3
2023;2;E-14331;232;4.6
2023;2;E-14331;233;3.2
2023;2;E-14331;234;4.8
2023;2;E-14331;235;6.6
2021;1;E-14332;201;5.1
2021;1;E-14332;202;6.4
2021;1;E-14332;203;6.6
2021;1;E-14332;204;4.1
2021;1;E-14332;205;4.6
2021;2;E-14332;206;4.8
2021;2;E-14332;207;5.3
2021;2;E-14332;208;3.1
2021;2;E-14332;209;3.6
2021;2;E-14332;210;5.5
2021;2;E-14332;211;6.9
2022;1;E-14332;212;3.6
2022;1;E-14332;213;6.7
2022;1;E-14332;214;6.9
2022;1;E-14332;215;3.9
2022;1;E-14332;216;6.7
2022;1;E-14332;217;4.4
2022;2;E-14332;218;5.6
2022;2;E-14332;219;5.1
2022;2;E-14332;220;3.8
2022;2;E-14332;221;3.6
2022;2;E-14332;222;5.3
2022;2;E-14332;223;3.1
2023;1;E-14332;224;3.8
2023;1;E-14332;225;3.2
2023;1;E-14332;226;5.6
2023;1;E-14332;227;6
2023;1;E-14332;228;4.5
2023;1;E-14332;229;6.4
2023;2;E-14332;230;4.8
2023;2;E-14332;231;6.4
2023;2;E-14332;232;5.9
2023;2;E-14332;233;6.8
2023;2;E-14332;234;6.8
2023;2;E-14332;235;4
2021;1;E-14333;201;3.7
2021;1;E-14333;202;6.5
2021;1;E-14333;203;5.5
2021;1;E-14333;204;4.1
2021;1;E-14333;205;4.3
2021;2;E-14333;206;3.7
2021;2;E-14333;207;6.3
2021;2;E-14333;208;5.7
2021;2;E-14333;209;4.3
2021;2;E-14333;210;5.5
2021;2;E-14333;211;4.2
2022;1;E-14333;212;3.1
2022;1;E-14333;213;3.7
2022;1;E-14333;214;5.2
2022;1;E-14333;215;3.3
2022;1;E-14333;216;3.3
2022;1;E-14333;217;3.6
2022;2;E-14333;218;5.3
2022;2;E-14333;219;5
2022;2;E-14333;220;5.4
2022;2;E-14333;221;4.7
2022;2;E-14333;222;4.5
2022;2;E-14333;223;5.2
2023;1;E-14333;224;4.8
2023;1;E-14333;225;3.6
2023;1;E-14333;226;6.4
2023;1;E-14333;227;4.9
2023;1;E-14333;228;5.7
2023;1;E-14333;229;5.1
2023;2;E-14333;230;5.6
2023;2;E-14333;231;5.4
2023;2;E-14333;232;4
2023;2;E-14333;233;4.6
2023;2;E-14333;234;5.3
2023;2;E-14333;235;4.3
2021;1;E-14334;201;5.5
2021;1;E-14334;202;6.4
2021;1;E-14334;203;6
2021;1;E-14334;204;5.3
2021;1;E-14334;205;6.6
2021;2;E-14334;206;3.7
2021;2;E-14334;207;5
2021;2;E-14334;208;4.2
2021;2;E-14334;209;3.1
2021;2;E-14334;210;3.6
2021;2;E-14334;211;6.6
2022;1;E-14334;212;4.4
2022;1;E-14334;213;4.1
2022;1;E-14334;214;4.5
2022;1;E-14334;215;4.6
2022;1;E-14334;216;5
2022;1;E-14334;217;3.5
2022;2;E-14334;218;3.4
2022;2;E-14334;219;5.6
2022;2;E-14334;220;6.4
2022;2;E-14334;221;3.8
2022;2;E-14334;222;3.2
2022;2;E-14334;223;5.8
2023;1;E-14334;224;4.1
2023;1;E-14334;225;4.8
2023;1;E-14334;226;6
2023;1;E-14334;227;4.4
2023;1;E-14334;228;4.7
2023;1;E-14334;229;6.6
2023;2;E-14334;230;6.4
2023;2;E-14334;231;6.3
2023;2;E-14334;232;5.8
2023;2;E-14334;233;3.8
2023;2;E-14334;234;3
2023;2;E-14334;235;5.7
2021;1;E-14335;201;5.3
2021;1;E-14335;202;5.7
2021;1;E-14335;203;5.5
2021;1;E-14335;204;6.4
2021;1;E-14335;205;3.7
2021;2;E-14335;206;5.9
2021;2;E-14335;207;3.9
2021;2;E-14335;208;3.6
2021;2;E-14335;209;3.7
2021;2;E-14335;210;3.6
2021;2;E-14335;211;6.2
2022;1;E-14335;212;6.5
2022;1;E-14335;213;6.2
2022;1;E-14335;214;3.5
2022;1;E-14335;215;5.4
2022;1;E-14335;216;5.6
2022;1;E-14335;217;3.8
2022;2;E-14335;218;7
2022;2;E-14335;219;3.1
2022;2;E-14335;220;5.5
2022;2;E-14335;221;7
2022;2;E-14335;222;5.9
2022;2;E-14335;223;6.1
2023;1;E-14335;224;6.4
2023;1;E-14335;225;3.5
2023;1;E-14335;226;4.1
2023;1;E-14335;227;4.9
2023;1;E-14335;228;6.5
2023;1;E-14335;229;6.7
2023;2;E-14335;230;5
2023;2;E-14335;231;3.9
2023;2;E-14335;232;5.8
2023;2;E-14335;233;4.8
2023;2;E-14335;234;3.1
2023;2;E-14335;235;5.3
2021;1;E-14336;201;6.8
2021;1;E-14336;202;3.1
2021;1;E-14336;203;5.6
2021;1;E-14336;204;6.3
2021;1;E-14336;205;3.4
2021;2;E-14336;206;3.6
2021;2;E-14336;207;6
2021;2;E-14336;208;4.4
2021;2;E-14336;209;4.2
2021;2;E-14336;210;5
2021;2;E-14336;211;3.5
2022;1;E-14336;212;4.5
2022;1;E-14336;213;3.7
2022;1;E-14336;214;4.1
2022;1;E-14336;215;6.6
2022;1;E-14336;216;6.7
2022;1;E-14336;217;6.8
2022;2;E-14336;218;6.2
2022;2;E-14336;219;6.9
2022;2;E-14336;220;3.1
2022;2;E-14336;221;6.7
2022;2;E-14336;222;4.3
2022;2;E-14336;223;4.5
2023;1;E-14336;224;3.6
2023;1;E-14336;225;7
2023;1;E-14336;226;3.6
2023;1;E-14336;227;3.2
2023;1;E-14336;228;6.5
2023;1;E-14336;229;5.6
2023;2;E-14336;230;6.5
2023;2;E-14336;231;3
2023;2;E-14336;232;6.7
2023;2;E-14336;233;3.3
2023;2;E-14336;234;3.2
2023;2;E-14336;235;4.5
2021;1;E-14337;201;4.4
2021;1;E-14337;202;5.1
2021;1;E-14337;203;6.9
2021;1;E-14337;204;3.4
2021;1;E-14337;205;6.5
2021;2;E-14337;206;6.8
2021;2;E-14337;207;6.1
2021;2;E-14337;208;5.6
2021;2;E-14337;209;6.1
2021;2;E-14337;210;6.9
2021;2;E-14337;211;5.8
2022;1;E-14337;212;6.8
2022;1;E-14337;213;5.8
2022;1;E-14337;214;6.8
2022;1;E-14337;215;6.3
2022;1;E-14337;216;6.1
2022;1;E-14337;217;6.7
2022;2;E-14337;218;4.5
2022;2;E-14337;219;5.7
2022;2;E-14337;220;3.9
2022;2;E-14337;221;6.1
2022;2;E-14337;222;4.9
2022;2;E-14337;223;5
2023;1;E-14337;224;4.7
2023;1;E-14337;225;4.5
2023;1;E-14337;226;4.1
2023;1;E-14337;227;5
2023;1;E-14337;228;5.5
2023;1;E-14337;229;5.4
2023;2;E-14337;230;5.1
2023;2;E-14337;231;4.5
2023;2;E-14337;232;4.6
2023;2;E-14337;233;3.8
2023;2;E-14337;234;3.7
2023;2;E-14337;235;4.1
2021;1;E-14338;201;3.9
2021;1;E-14338;202;4.3
2021;1;E-14338;203;3.4
2021;1;E-14338;204;6.1
2021;1;E-14338;205;3.9
2021;2;E-14338;206;4
2021;2;E-14338;207;6.5
2021;2;E-14338;208;3.7
2021;2;E-14338;209;3.6
2021;2;E-14338;210;4
2021;2;E-14338;211;6.6
2022;1;E-14338;212;4
2022;1;E-14338;213;5.6
2022;1;E-14338;214;6.4
2022;1;E-14338;215;6.8
2022;1;E-14338;216;6.4
2022;1;E-14338;217;6.5
2022;2;E-14338;218;4.1
2022;2;E-14338;219;5.5
2022;2;E-14338;220;3.7
2022;2;E-14338;221;3.5
2022;2;E-14338;222;3.6
2022;2;E-14338;223;4.5
2023;1;E-14338;224;6.9
2023;1;E-14338;225;6.7
2023;1;E-14338;226;5
2023;1;E-14338;227;5.2
2023;1;E-14338;228;3.7
2023;1;E-14338;229;4
2023;2;E-14338;230;6.1
2023;2;E-14338;231;6.5
2023;2;E-14338;232;5.9
2023;2;E-14338;233;3.7
2023;2;E-14338;234;5.4
2023;2;E-14338;235;3.2
2021;1;E-14339;201;5.6
2021;1;E-14339;202;4.7
2021;1;E-14339;203;3.7
2021;1;E-14339;204;5.4
2021;1;E-14339;205;4.4
2021;2;E-14339;206;5.2
2021;2;E-14339;207;4.8
2021;2;E-14339;208;3.4
2021;2;E-14339;209;3.9
2021;2;E-14339;210;3.6
2021;2;E-14339;211;3.8
2022;1;E-14339;212;4.9
2022;1;E-14339;213;5
2022;1;E-14339;214;4.4
2022;1;E-14339;215;5.2
2022;1;E-14339;216;5.8
2022;1;E-14339;217;4.3
2022;2;E-14339;218;5.7
2022;2;E-14339;219;5.4
2022;2;E-14339;220;5.8
2022;2;E-14339;221;6.9
2022;2;E-14339;222;6.7
2022;2;E-14339;223;5
2023;1;E-14339;224;4.8
2023;1;E-14339;225;5.5
2023;1;E-14339;226;5
2023;1;E-14339;227;5.1
2023;1;E-14339;228;4.6
2023;1;E-14339;229;7
2023;2;E-14339;230;6.8
2023;2;E-14339;231;5.4
2023;2;E-14339;232;3.3
2023;2;E-14339;233;5.3
2023;2;E-14339;234;5.9
2023;2;E-14339;235;6.9
2021;1;E-14340;201;6.9
2021;1;E-14340;202;6.4
2021;1;E-14340;203;3.6
2021;1;E-14340;204;4
2021;1;E-14340;205;6.2
2021;2;E-14340;206;6.6
2021;2;E-14340;207;6
2021;2;E-14340;208;4.7
2021;2;E-14340;209;5.7
2021;2;E-14340;210;4.2
2021;2;E-14340;211;5.8
2022;1;E-14340;212;5
2022;1;E-14340;213;6.9
2022;1;E-14340;214;3.3
2022;1;E-14340;215;5.5
2022;1;E-14340;216;3.5
2022;1;E-14340;217;3.2
2022;2;E-14340;218;3.6
2022;2;E-14340;219;5.6
2022;2;E-14340;220;5.2
2022;2;E-14340;221;5.1
2022;2;E-14340;222;6.3
2022;2;E-14340;223;5.5
2023;1;E-14340;224;6.2
2023;1;E-14340;225;5.1
2023;1;E-14340;226;5.9
2023;1;E-14340;227;5.4
2023;1;E-14340;228;3.9
2023;1;E-14340;229;4.8
2023;2;E-14340;230;5.8
2023;2;E-14340;231;5.8
2023;2;E-14340;232;3.3
2023;2;E-14340;233;6.1
2023;2;E-14340;234;4.4
2023;2;E-14340;235;3.1
2021;1;E-14341;201;5.1
2021;1;E-14341;202;4.2
2021;1;E-14341;203;4.8
2021;1;E-14341;204;3.1
2021;1;E-14341;205;6.5
2021;2;E-14341;206;4.6
2021;2;E-14341;207;6.4
2021;2;E-14341;208;6.7
2021;2;E-14341;209;3.1
2021;2;E-14341;210;6
2021;2;E-14341;211;5.4
2022;1;E-14341;212;5
2022;1;E-14341;213;3.5
2022;1;E-14341;214;3.9
2022;1;E-14341;215;3.5
2022;1;E-14341;216;3.7
2022;1;E-14341;217;5.1
2022;2;E-14341;218;3.1
2022;2;E-14341;219;6.9
2022;2;E-14341;220;3.7
2022;2;E-14341;221;3.2
2022;2;E-14341;222;3.1
2022;2;E-14341;223;5.2
2023;1;E-14341;224;3.6
2023;1;E-14341;225;4.6
2023;1;E-14341;226;4.7
2023;1;E-14341;227;3.7
2023;1;E-14341;228;6.4
2023;1;E-14341;229;6.3
2023;2;E-14341;230;6.1
2023;2;E-14341;231;5
2023;2;E-14341;232;3.8
2023;2;E-14341;233;3.7
2023;2;E-14341;234;6.5
2023;2;E-14341;235;7
2021;1;E-14342;201;5
2021;1;E-14342;202;3
2021;1;E-14342;203;4.5
2021;1;E-14342;204;6.5
2021;1;E-14342;205;3.2
2021;2;E-14342;206;3.3
2021;2;E-14342;207;4.2
2021;2;E-14342;208;3.2
2021;2;E-14342;209;6.3
2021;2;E-14342;210;3
2021;2;E-14342;211;7
2022;1;E-14342;212;5.5
2022;1;E-14342;213;4.9
2022;1;E-14342;214;4.4
2022;1;E-14342;215;4
2022;1;E-14342;216;4
2022;1;E-14342;217;5.8
2022;2;E-14342;218;5.7
2022;2;E-14342;219;5.7
2022;2;E-14342;220;3.6
2022;2;E-14342;221;5.6
2022;2;E-14342;222;3.1
2022;2;E-14342;223;4.4
2023;1;E-14342;224;3.6
2023;1;E-14342;225;5.9
2023;1;E-14342;226;5.8
2023;1;E-14342;227;6
2023;1;E-14342;228;6.8
2023;1;E-14342;229;5.7
2023;2;E-14342;230;3.6
2023;2;E-14342;231;6.2
2023;2;E-14342;232;5.9
2023;2;E-14342;233;5.8
2023;2;E-14342;234;3.8
2023;2;E-14342;235;4.6
2021;1;E-14343;201;6.9
2021;1;E-14343;202;3.6
2021;1;E-14343;203;5
2021;1;E-14343;204;6.6
2021;1;E-14343;205;5.5
2021;2;E-14343;206;3.5
2021;2;E-14343;207;3.8
2021;2;E-14343;208;3.5
2021;2;E-14343;209;3.9
2021;2;E-14343;210;5.5
2021;2;E-14343;211;6.7
2022;1;E-14343;212;4.8
2022;1;E-14343;213;6
2022;1;E-14343;214;5.9
2022;1;E-14343;215;3.2
2022;1;E-14343;216;4
2022;1;E-14343;217;3.8
2022;2;E-14343;218;3.4
2022;2;E-14343;219;6.9
2022;2;E-14343;220;4.8
2022;2;E-14343;221;6.3
2022;2;E-14343;222;6.4
2022;2;E-14343;223;3.2
2023;1;E-14343;224;4.9
2023;1;E-14343;225;4.5
2023;1;E-14343;226;5
2023;1;E-14343;227;4.3
2023;1;E-14343;228;4.5
2023;1;E-14343;229;6.2
2023;2;E-14343;230;3.7
2023;2;E-14343;231;6.5
2023;2;E-14343;232;4
2023;2;E-14343;233;6.4
2023;2;E-14343;234;3.9
2023;2;E-14343;235;3.9
2021;1;E-14344;201;6.3
2021;1;E-14344;202;4.6
2021;1;E-14344;203;6.8
2021;1;E-14344;204;3.3
2021;1;E-14344;205;4.6
2021;2;E-14344;206;5.6
2021;2;E-14344;207;5.6
2021;2;E-14344;208;3.7
2021;2;E-14344;209;6.8
2021;2;E-14344;210;5.6
2021;2;E-14344;211;6
2022;1;E-14344;212;5.4
2022;1;E-14344;213;5.3
2022;1;E-14344;214;4.2
2022;1;E-14344;215;5.2
2022;1;E-14344;216;3.8
2022;1;E-14344;217;3.1
2022;2;E-14344;218;4.2
2022;2;E-14344;219;6.1
2022;2;E-14344;220;4.2
2022;2;E-14344;221;6
2022;2;E-14344;222;4.8
2022;2;E-14344;223;5.8
2023;1;E-14344;224;5.4
2023;1;E-14344;225;6.5
2023;1;E-14344;226;4.4
2023;1;E-14344;227;4.7
2023;1;E-14344;228;4.6
2023;1;E-14344;229;5.9
2023;2;E-14344;230;3.5
2023;2;E-14344;231;4.2
2023;2;E-14344;232;3.7
2023;2;E-14344;233;4.5
2023;2;E-14344;234;5.4
2023;2;E-14344;235;6.3
2021;1;E-14345;201;3.2
2021;1;E-14345;202;5.4
2021;1;E-14345;203;5
2021;1;E-14345;204;5.2
2021;1;E-14345;205;6.8
2021;2;E-14345;206;3.1
2021;2;E-14345;207;3.5
2021;2;E-14345;208;4.4
2021;2;E-14345;209;5.9
2021;2;E-14345;210;4.6
2021;2;E-14345;211;3.7
2022;1;E-14345;212;3.1
2022;1;E-14345;213;5.4
2022;1;E-14345;214;4.5
2022;1;E-14345;215;6
2022;1;E-14345;216;7
2022;1;E-14345;217;6.5
2022;2;E-14345;218;4.4
2022;2;E-14345;219;6.1
2022;2;E-14345;220;4.3
2022;2;E-14345;221;6.5
2022;2;E-14345;222;5.3
2022;2;E-14345;223;5.1
2023;1;E-14345;224;7
2023;1;E-14345;225;4
2023;1;E-14345;226;5.3
2023;1;E-14345;227;4.9
2023;1;E-14345;228;4.8
2023;1;E-14345;229;3.9
2023;2;E-14345;230;6.3
2023;2;E-14345;231;4.4
2023;2;E-14345;232;4.2
2023;2;E-14345;233;5.2
2023;2;E-14345;234;5.2
2023;2;E-14345;235;4.9
2021;1;E-14346;201;4.5
2021;1;E-14346;202;3.9
2021;1;E-14346;203;6.7
2021;1;E-14346;204;4.3
2021;1;E-14346;205;3.1
2021;2;E-14346;206;6.4
2021;2;E-14346;207;5
2021;2;E-14346;208;4.7
